amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-iba	order-item-id	is-prime
171-1636285-0001145	171-1636285-0001145	2026-09-02T15:27:47+00:00	2026-09-03T10:38:08+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0		40.0					40.0	PIMPRI CHINCHWAD	MAHARASHTRA	411027	IN		false				false	67256230053682	false
405-9148856-4937927	405-9148856-4937927	2026-09-02T09:42:02+00:00	2026-09-02T11:54:00+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0								BENGALURU	KARNATAKA	560076	IN		false				false	67245934213042	false
406-4014326-0019509	406-4014326-0019509	2026-09-02T08:18:35+00:00	2026-09-02T14:32:01+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0		19.0					19.0	PUNE	MAHARASHTRA	411040	IN		false				false	67243081656802	false
171-2021342-5993930	171-2021342-5993930	2026-09-02T08:07:31+00:00	2026-09-08T20:32:07+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0		40.0					40.0	GANGOH	UTTAR PRADESH	247341	IN		false				false	67242940041922	false
171-8100311-7547505	171-8100311-7547505	2026-09-02T08:00:30+00:00	2026-09-02T20:34:02+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0		40.0					40.0	Sp ring road,Hanspura, naroda, AHMEDABAD	GUJARAT	382330	IN		false				false	67242735344242	false
405-2498022-5260356	405-2498022-5260356	2026-09-02T05:21:26+00:00	2026-09-02T14:04:58+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0		40.0					40.0	CHIDAMBARAM	TAMIL NADU	608001	IN		false				false	67240465027762	false
403-6465004-0962708		2026-09-01T21:15:13+00:00	2026-09-06T05:55:29+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel	Standard	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natural Fragrance | Indoor & Outdoor Use	8908006802319	B0D7MXTFB1	1	Shipped	1	INR	235.0	11.19							THANE	MAHARASHTRA	400701	IN		false			Easy Ship	false	67212832035722	false
403-7790570-5799536		2026-09-01T20:01:01+00:00	2026-09-06T15:44:44+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel	Standard	Catche Must-Quit-O® Ayurvedic Mosquito Repellent Vaporizer Combo | 3 Refills (45ml Each) + 1 Machine | Non-Toxic, DEET-Free | Safe for Babies & Pregnant Women | Fits All Machines	Repellent Insta + Refill	B0B8SJ63RD	2	Shipped	1	INR	250.0	11.9							Mira Road	MAHARASHTRA	401107	IN		false			Easy Ship	false	67211630843482	true
403-9238516-7161938	403-9238516-7161938	2026-09-01T19:36:54+00:00	2026-09-02T10:33:09+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0		19.0					19.0	MUMBAI	MAHARASHTRA	400002	IN		false				false	67210945884322	false
406-9801419-4071507	406-9801419-4071507	2026-09-01T17:40:47+00:00	2026-09-02T03:44:55+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natura	8908006802319-FBA	B0D7MXTFB1		Shipped	1	INR	235.0		40.0					40.0	GUNTAKAL	ANDHRA PRADESH	515801	IN		false				false	67208732068322	false
